"ORDER_SEQID","C_CODE","SHORT_NAME","PO_NO_TYPE","PO_NO","C_PART_NO","PART_NO","PN_DESC","C_PRICE","IS_TAX","TAX_RATE","SPEC_DESC","COMM_DESC","AMOUNT","MONEY","DELIVERY_AMOUNT","PERIOD","ORG_DELIVERY_DATE","VER_DELIVERY_DATE","RLT_ORDER_PO_NO","STATE","ACTIVE_STATE","RLT_REC_PO_NO","STAFF_ID","STAFF_NAME","SETTLEMENT_TYPE","CUST_C_CODE","C_PRICE_TAX","HASTEN_REMINDER"
231,"GV0003","华龙东光","0","P10032709","#A638AN-0156Z=P3","GLE-0156-L-04","松下 3*3-50K欧 #A638AN-0156Z=P3\r\n",0.216,"0",0,"可确定明细",NULL,1500,324,0,"201008","2010-09-10",NULL,"GR-GD1018Z","04","ACTIVE",NULL,"8","谢冰冰","1","GC0005",0,NULL
232,"GV0028","华龙东光RMB","0","P10032710","#A997AS-4R7M","#A997AS-4R7M","4.7UH TOKO",0.76,"1",0.17,"",NULL,2000,1520,0,"201008","2010-09-05",NULL,"PG4907","04","ACTIVE",NULL,"8","谢冰冰","1","GC0069",0.17,NULL
233,"GV0005","今凯","0","P10032722","CKRH105R-101NC","GCRH105R-101NC","105R 100UH +/-25%\r\n",0.836,"1",0.17,"",NULL,800,668.8,0,"201008","2010-08-15",NULL,"201007029006","04","ACTIVE",NULL,"8","谢冰冰","1","GC0127",0.17,NULL
234,"GV0005","今凯","0","P10032722","CKRH127-330NC","GCRH127-330NC","127 33UH +/-25%",0.66,"1",0.17,"",NULL,6000,3960,0,"201008","2010-08-10",NULL,"CZ20100727001","04","ACTIVE",NULL,"8","谢冰冰","1","GC0107",0.17,NULL
235,"GV0005","今凯","0","P10032722","CKRH4D18-331NC","GCRH4D18-331NC","4D18 330UH +/-25%",0.45,"1",0.17,"可确定明细",NULL,4000,1800,0,"201008","2010-08-20",NULL,"YX10072608","04","ACTIVE",NULL,"8","谢冰冰","1","GC0083",0.17,NULL
236,"GV0006","海瑞达","0","P10032736","HSM32-3R3NC","GCD32-3R3NC","32 3.3UH  +/-25%25%\r\n",0.162,"1",0.17,"",NULL,12000,1944,0,"201008","2010-08-09",NULL,"PO10072730","04","ACTIVE",NULL,"8","谢冰冰","1","GC0031",0.17,NULL
237,"GV0018","天河","0","P10032746","SPT0508A-471KR28-PF","SPT0508A-471KR28-PF","TDK 电感 Inductor 470uH",0.25,"0",0,"旧型号：6978-0206",NULL,28000,7000,0,"201008","2010-08-10",NULL,"4503040991","04","ACTIVE",NULL,"8","谢冰冰","2","GC0103",0,NULL
238,"GV0006","海瑞达","0","P10032755","HSMRH105R-111K","GCRH105R-111K","105R 110UH +/-10%",0.5,"1",0.17,"",NULL,2000,1000,0,"201008","2010-08-08",NULL,"PO10072208","04","ACTIVE",NULL,"8","谢冰冰","1","GC0070",0.17,NULL
239,"GV0006","海瑞达","0","P10032755","PK0910-100M","GCP0910-100M","DR09L12AM10UX/10UH/3.6A/pin 间距5mm\r\n",0.173,"1",0.17,"",NULL,400,69.2,0,"201008","2010-08-10",NULL,"XWTPO100721002","04","ACTIVE",NULL,"8","谢冰冰","1","GC0044",0.17,NULL
240,"GV0005","今凯","0","P10032762","CKRH2D18A/HP-1R0NC","GCRH2D18A/HP-1R0NC","2D18 1UH +/-25% 对角型脚位 大电流\r\n",0.473,"1",0.17,"",NULL,1000,473,0,"201008","2010-08-09",NULL,"POORD004637","04","ACTIVE",NULL,"8","谢冰冰","1","GC0028",0.17,NULL
